,latitude,longitude,hour_of_day,day_of_week,Month,parent_incident_type,Council Districts
0,42.890715699623705,-78.8767818453519,3.0,Friday,8.0,Assault,4.0
1,42.921749691071795,-78.8269455344964,17.0,Monday,11.0,Breaking & Entering,9.0
2,42.8992140627521,-78.8772781040547,2.0,Monday,9.0,Robbery,5.0
3,42.8854826,-78.879015,11.0,Tuesday,2.0,Theft,4.0
4,42.936128142292795,-78.8392509569312,20.0,Saturday,8.0,Robbery,9.0
5,42.9385481476312,-78.8106918836154,8.0,Sunday,6.0,Theft of Vehicle,8.0
6,42.9507893,-78.8263856,0.0,Sunday,9.0,Theft,8.0
7,42.93386607274971,-78.8322959056625,17.0,Saturday,3.0,Theft of Vehicle,9.0
8,42.8924282802502,-78.8805298051395,21.0,Sunday,10.0,Theft,5.0
9,42.91794814876771,-78.87983109832541,3.0,Sunday,9.0,Theft,7.0
10,42.890987291767004,-78.8753732091288,1.0,Friday,2.0,Robbery,4.0
11,42.8787448870102,-78.83509002413079,12.0,Monday,8.0,Breaking & Entering,5.0
12,42.856954142577706,-78.8119426001172,19.0,Wednesday,6.0,Theft,6.0
13,42.9209248711147,-78.80842785608858,3.0,Sunday,3.0,Breaking & Entering,2.0
14,42.8900391124634,-78.8820070468462,18.0,Thursday,8.0,Theft,5.0
15,42.9089,-78.87718000000001,4.0,Tuesday,12.0,Assault,3.0
16,42.9469395010599,-78.82640988753549,19.0,Wednesday,8.0,Robbery,8.0
17,42.897191526792795,-78.8741709170433,15.0,Thursday,5.0,Theft,5.0
18,42.945558827763904,-78.817440584734,12.0,Tuesday,4.0,Theft of Vehicle,8.0
19,42.9031920635996,-78.8775209450778,20.0,Monday,2.0,Theft,4.0
20,42.9255810322585,-78.8048942332233,13.0,Thursday,9.0,Assault,8.0
21,42.85778186725,-78.83061005802399,11.0,Wednesday,10.0,Theft,2.0
22,42.909615346136704,-78.8560299032368,18.0,Saturday,7.0,Theft of Vehicle,4.0
23,42.895974024686495,-78.8051987260427,0.0,Friday,12.0,Theft,2.0
24,42.941712655111395,-78.8476892089037,20.0,Thursday,2.0,Theft of Vehicle,7.0
25,42.88562657922,-78.82038546205101,0.0,Tuesday,6.0,Theft,5.0
26,42.894467540314004,-78.88763013103721,9.0,Saturday,9.0,Theft,4.0
27,42.937965968216794,-78.8136773315659,14.0,Monday,6.0,Theft,9.0
28,42.845513813891294,-78.8189269128874,21.0,Tuesday,10.0,Theft,6.0
29,42.9222778564245,-78.8485648068225,0.0,Saturday,3.0,Theft of Vehicle,9.0
30,42.9167146482898,-78.8455917160809,3.0,Friday,8.0,Breaking & Entering,9.0
31,42.8556514982865,-78.81809254063809,15.0,Tuesday,5.0,Theft,6.0
32,42.92501328912871,-78.8852041740168,3.0,Monday,8.0,Breaking & Entering,3.0
33,42.9424617804399,-78.80202009478491,11.0,Wednesday,2.0,Theft,8.0
34,42.9091094703538,-78.84761248065371,0.0,Sunday,7.0,Assault,4.0
35,42.9100222439845,-78.8887891488622,17.0,Wednesday,4.0,Assault,3.0
36,42.878528268948706,-78.80241265513021,16.0,Sunday,7.0,Theft,2.0
37,42.878738112925795,-78.8578174574555,16.0,Sunday,6.0,Robbery,4.0
38,42.9296067429134,-78.87017866207259,18.0,Sunday,8.0,Theft,7.0
39,42.9453485659428,-78.8148945866705,11.0,Saturday,6.0,Theft of Vehicle,8.0
40,42.9152859164219,-78.89049504646471,15.0,Thursday,8.0,Theft,3.0
41,42.9156169980703,-78.868583182516,17.0,Wednesday,9.0,Theft,4.0
42,42.9110166081406,-78.83066742135179,18.0,Sunday,8.0,Assault,5.0
43,42.921874816237896,-78.88914637572141,12.0,Monday,6.0,Theft,3.0
44,42.897991290791104,-78.8823606689402,19.0,Thursday,6.0,Theft,5.0
45,42.869528288442105,-78.8024181267894,5.0,Saturday,9.0,Assault,2.0
46,42.94196234137571,-78.8314321900851,23.0,Saturday,5.0,Theft,9.0
47,42.9197068702401,-78.8901397978699,17.0,Thursday,2.0,Assault,3.0
48,42.9157892211055,-78.8029179141873,11.0,Wednesday,4.0,Theft,2.0
49,42.953034018941295,-78.90323363544609,23.0,Saturday,10.0,Breaking & Entering,1.0
50,42.934220085301206,-78.8335296376461,20.0,Sunday,10.0,Robbery,9.0
51,42.918887024738105,-78.877520933167,15.0,Thursday,1.0,Theft,7.0
52,42.911260740815,-78.868187852877,17.0,Friday,7.0,Robbery,4.0
53,42.951540893056496,-78.8767799344682,22.0,Friday,4.0,Theft,1.0
54,42.8681709645576,-78.8090159171063,22.0,Wednesday,3.0,Theft of Vehicle,2.0
55,42.9355376146391,-78.8165208878381,14.0,Tuesday,3.0,Breaking & Entering,9.0
56,42.9220511060159,-78.833204551268,22.0,Wednesday,2.0,Theft of Vehicle,9.0
57,42.938418146751296,-78.87479296936459,15.0,Saturday,10.0,Breaking & Entering,1.0
58,42.893163057607104,-78.8374685702762,0.0,Saturday,12.0,Theft,5.0
59,42.939635539503605,-78.839418625634,20.0,Monday,9.0,Theft of Vehicle,9.0
60,42.9441184,-78.8680916,11.0,Sunday,9.0,Theft,1.0
61,42.9204299765589,-78.8958220629932,7.0,Sunday,9.0,Assault,3.0
62,42.8777377322114,-78.8019098134098,2.0,Tuesday,3.0,Robbery,2.0
63,42.8966013128,-78.8688313991947,23.0,Sunday,4.0,Theft,4.0
64,42.9467351511242,-78.8191631502258,11.0,Monday,8.0,Breaking & Entering,8.0
65,42.881411886255606,-78.85268042790321,12.0,Monday,1.0,Breaking & Entering,4.0
66,42.8954706,-78.85933790000001,23.0,Saturday,7.0,Robbery,4.0
67,42.8489626722156,-78.82300476126221,16.0,Wednesday,12.0,Breaking & Entering,6.0
68,42.8466178676164,-78.8018150904175,20.0,Tuesday,1.0,Theft,6.0
69,42.888951399999996,-78.8464372,3.0,Friday,5.0,Assault,5.0
70,42.9391103662186,-78.9038139457695,9.0,Thursday,3.0,Breaking & Entering,1.0
71,42.9483435385152,-78.8987471751111,8.0,Sunday,4.0,Assault,1.0
72,42.9175990280215,-78.81251695074529,0.0,Monday,5.0,Breaking & Entering,2.0
73,42.9296888549358,-78.808979002124,6.0,Thursday,4.0,Breaking & Entering,8.0
74,42.9249221329698,-78.8857038386979,12.0,Saturday,10.0,Breaking & Entering,3.0
75,42.950853255797995,-78.8980676763986,11.0,Thursday,10.0,Theft,1.0
76,42.9124492313031,-78.8624465431448,19.0,Thursday,6.0,Assault,9.0
77,42.9048472501836,-78.8137779395195,22.0,Sunday,11.0,Robbery,2.0
78,42.9317577151449,-78.8033480448919,8.0,Monday,5.0,Theft,8.0
79,42.9470758196479,-78.8268212780479,20.0,Monday,3.0,Robbery,8.0
