fecha;casos_totales;casos_recuperados;fallecidos;casos_activos
02/03/2020;1.0;0.0;0.0;1.0
03/03/2020;1.0;0.0;0.0;1.0
04/03/2020;3.0;0.0;0.0;3.0
05/03/2020;4.0;0.0;0.0;4.0
06/03/2020;5.0;0.0;0.0;5.0
07/03/2020;7.0;0.0;0.0;7.0
08/03/2020;10.0;0.0;0.0;10.0
09/03/2020;15.0;0.0;0.0;15.0
10/03/2020;17.0;0.0;0.0;17.0
11/03/2020;23.0;0.0;0.0;23.0
12/03/2020;33.0;0.0;0.0;33.0
13/03/2020;43.0;0.0;0.0;43.0
14/03/2020;61.0;0.0;0.0;61.0
15/03/2020;75.0;0.0;0.0;75.0
16/03/2020;156.0;0.0;0.0;156.0
17/03/2020;201.0;1.0;0.0;200.0
18/03/2020;238.0;3.0;0.0;235.0
19/03/2020;342.0;4.0;0.0;338.0
20/03/2020;434.0;5.0;0.0;429.0
21/03/2020;537.0;6.0;0.0;531.0
22/03/2020;632.0;8.0;1.0;623.0
23/03/2020;746.0;11.0;1.0;734.0
24/03/2020;922.0;17.0;2.0;903.0
25/03/2020;1142.0;22.0;3.0;1117.0
26/03/2020;1306.0;33.0;4.0;1269.0
27/03/2020;1610.0;43.0;5.0;1562.0
28/03/2020;1909.0;61.0;6.0;1842.0
29/03/2020;2139.0;75.0;7.0;2057.0
30/03/2020;2449.0;156.0;8.0;2285.0
31/03/2020;2738.0;201.0;12.0;2525.0
01/04/2020;3031.0;234.0;16.0;2781.0
02/04/2020;3404.0;335.0;18.0;3051.0
03/04/2020;3737.0;427.0;22.0;3288.0
04/04/2020;4161.0;528.0;27.0;3606.0
05/04/2020;4471.0;617.0;34.0;3820.0
06/04/2020;4815.0;728.0;37.0;4050.0
07/04/2020;5116.0;898.0;43.0;4175.0
08/04/2020;5546.0;1115.0;48.0;4383.0
09/04/2020;5972.0;1274.0;57.0;4641.0
10/04/2020;6501.0;1571.0;65.0;4865.0
11/04/2020;6927.0;1864.0;73.0;4990.0
12/04/2020;7213.0;2059.0;80.0;5074.0
13/04/2020;7525.0;2367.0;82.0;5076.0
14/04/2020;7917.0;2646.0;92.0;5179.0
15/04/2020;8273.0;2937.0;94.0;5242.0
16/04/2020;8807.0;3299.0;105.0;5403.0
17/04/2020;9252.0;3621.0;116.0;5515.0
18/04/2020;9730.0;4035.0;126.0;5569.0
19/04/2020;10088.0;4338.0;133.0;5617.0
20/04/2020;10507.0;4676.0;139.0;5692.0
21/04/2020;10832.0;4969.0;147.0;5716.0
22/04/2020;11296.0;5386.0;160.0;5750.0
23/04/2020;11812.0;5804.0;168.0;5840.0
24/04/2020;12306.0;6327.0;174.0;5805.0
25/04/2020;12858.0;6746.0;181.0;5931.0
26/04/2020;13331.0;7024.0;189.0;6118.0
27/04/2020;13813.0;7327.0;198.0;6288.0
28/04/2020;14365.0;7710.0;207.0;6448.0
29/04/2020;15135.0;8057.0;216.0;6862.0
30/04/2020;16023.0;8580.0;227.0;7216.0
01/05/2020;17008.0;9018.0;234.0;7756.0
02/05/2020;18435.0;9572.0;247.0;8616.0
03/05/2020;19663.0;10041.0;260.0;9362.0
04/05/2020;20643.0;10415.0;270.0;9958.0
05/05/2020;22016.0;10710.0;275.0;11031.0
06/05/2020;23048.0;11189.0;281.0;11578.0
07/05/2020;24581.0;11664.0;285.0;12632.0
08/05/2020;25972.0;12160.0;294.0;13518.0
09/05/2020;27219.0;12667.0;304.0;14248.0
10/05/2020;28866.0;13112.0;312.0;15442.0
11/05/2020;30063.0;13605.0;323.0;16135.0
12/05/2020;31721.0;14125.0;335.0;17261.0
13/05/2020;34381.0;14865.0;346.0;19170.0
14/05/2020;37040.0;15655.0;368.0;21017.0
15/05/2020;39542.0;16614.0;394.0;22534.0
16/05/2020;41428.0;18014.0;421.0;22993.0
17/05/2020;43781.0;19213.0;450.0;24118.0
18/05/2020;46059.0;20165.0;478.0;25416.0
19/05/2020;49579.0;21507.0;509.0;27563.0
20/05/2020;53617.0;22504.0;544.0;30569.0
21/05/2020;57581.0;23992.0;589.0;33000.0
22/05/2020;61857.0;25342.0;630.0;35885.0
23/05/2020;65393.0;26546.0;673.0;38174.0
24/05/2020;69102.0;28148.0;718.0;40236.0
25/05/2020;73997.0;29302.0;761.0;43934.0
26/05/2020;77961.0;30915.0;806.0;46240.0
27/05/2020;82289.0;33540.0;841.0;47908.0
28/05/2020;86943.0;36115.0;890.0;49938.0
29/05/2020;90638.0;38598.0;944.0;51096.0
30/05/2020;94858.0;40431.0;997.0;53430.0
31/05/2020;99688.0;42727.0;1054.0;55907.0
