codigo_aeropuerto;nombre;latitud;longitud;altura;zona_horaria;horario_verano;zona_horaria_iana
04G;Lansdowne Airport;411.304.722;-806.195.833;1044;-5;A;America/New_York
06A;Moton Field Municipal Airport;324.605.722;-856.800.278;264;-6;A;America/Chicago
06C;Schaumburg Regional;419.893.408;-881.012.428;801;-6;A;America/Chicago
06N;Randall Airport;41.431.912;-743.915.611;523;-5;A;America/New_York
09J;Jekyll Island Airport;310.744.722;-814.277.778;11;-5;A;America/New_York
0A9;Elizabethton Municipal Airport;363.712.222;-821.734.167;1593;-5;A;America/New_York
0G6;Williams County Airport;414.673.056;-845.067.778;730;-5;A;America/New_York
0G7;Finger Lakes Regional Airport;428.835.647;-767.812.318;492;-5;A;America/New_York
0P2;Shoestring Aviation Airfield;397.948.244;-766.471.914;1000;-5;U;America/New_York
0S9;Jefferson County Intl;48.053.808.600.000.000;-1.228.106.436;108;-8;A;America/Los_Angeles
0W3;Harford County Airport;395.668.378;-762.024.028;409;-5;A;America/New_York
10C;Galt Field Airport;424.028.889;-883.751.111;875;-6;U;America/Chicago
17G;Port Bucyrus-Crawford County Airport;407.815.556;-829.748.056;1003;-5;A;America/New_York
19A;Jackson County Airport;341.758.638;-835.615.972;951;-5;U;America/New_York
1A3;Martin Campbell Field Airport;350.158.056;-843.468.333;1789;-5;A;America/New_York
1B9;Mansfield Municipal;420.001.331;-711.967.714;122;-5;A;America/New_York
1C9;Frazier Lake Airpark;54.013.333.333.333.300;-12.476.833.333.333.300;152;-8;A;America/Vancouver
1CS;Clow International Airport;416.959.744;-881.292.306;670;-6;U;America/Chicago
1G3;Kent State Airport;411.513.889;-814.151.111;1134;-5;A;America/New_York
1G4;Grand Canyon West Airport;35.899.904;-113.815.674;4813;-7;A;America/Phoenix
1H2;Effingham Memorial Airport;39.07;-88.534;585;-6;A;America/Chicago
1OH;Fortman Airport;405.553.253;-843.866.186;885;-5;U;America/New_York
1RL;Point Roberts Airpark;489.797.222;-1.230.788.889;10;-8;A;America/Los_Angeles
23M;Clarke CO;320.517;-884.434;320;-6;A;America/Chicago
24C;Lowell City Airport;4.295.392;-853.439.058;681;-5;A;America/New_York
24J;Suwannee County Airport;30.300.125;-830.246.944;104;-5;A;America/New_York
25D;Forest Lake Airport;452.477.456;-929.943.853;925;-6;A;America/Chicago
29D;Grove City Airport;411.460.278;-8.016.775;1371;-5;A;America/New_York
2A0;Mark Anton Airport;3.548.625;-849.310.833;718;-5;A;America/New_York
2B2;Plum Island Airport;427.953.611;-708.394.444;11;-5;A;America/New_York
2G2;Jefferson County Airpark;403.602.179;-807.008.742;1196;-5;A;America/New_York
