ID,RUC UBB,COD_DISTRI,FECHA DELITO,HORA,HOUR,DIA,DIA SEMANA,MES,AÑO,LUGAR OCURRENCIA,SITIO SUCESO,DOMICILIO,TIPO_ARMA,DIR_DELITO,DIR_GEOCODIFICADA,LAT,LON,DELITO
0,RLH_2009_0001,2,2009-01-01 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,MADRID 3579, ,MADRID 3579 HUALPEN CHILE,"MADRID, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7831124,-73.1049625,ROBO EN LUGAR HABITADO ART. 440
3,RLH_2009_0002,5,2009-01-01 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,LETONIA 4546,NO ESPECIFICADO,LETONIA 4546 HUALPEN CHILE,"LETONIA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7979992,-73.1048157,ROBO EN LUGAR HABITADO ART. 440
8,RCI_2009_0003,3,2009-01-02 00:00:00,00:00:00,00,Friday,SABADO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,COLON 7948,NO ESPECIFICADO,COLON 7948 HUALPEN CHILE,"COLEGIO CRISTOBAL COLON, CALLE POSTDAM, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.80078395,-73.08366451,ROBO CON INTIMIDACION. ART. 433
16,RPS_2009_0002,5,2009-01-05 00:00:00,00:00:00,00,Monday,MARTES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CARTAGENA ,MANOS Y PIES,CARTAGENA  HUALPEN CHILE,"CARTAGENA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7941228,-73.0975447,ROBO POR SORPRESA. ART. 436
23,RPS_2009_0003,5,2009-01-07 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,AV. RECONQUISTA CON CALLE TOSCANIA ,NO ESPECIFICADO,AVENIDA RECONQUISTA  HUALPEN CHILE,"AVENIDA LA RECONQUISTA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7965588,-73.0994009,ROBO POR SORPRESA. ART. 436
24,RLH_2009_0005,5,2009-01-07 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,SAJONIA 1167,NO ESPECIFICADO,SAJONIA 1167 HUALPEN CHILE,"SAJONIA, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7962792,-73.1039197,ROBO EN LUGAR HABITADO ART. 440
28,RCI_2009_0005,5,2009-01-07 00:00:00,00:00:00,00,Wednesday,JUEVES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CALLE MADRID CON GRANADA ,NO ESPECIFICADO,CALLE MADRID  HUALPEN CHILE,"MADRID, PADRE HURTADO, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600770, CHILE",-36.7908812,-73.1077433,ROBO CON INTIMIDACION. ART. 433
32,RLH_2009_0006,3,2009-01-08 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,LUGAR HABITADO O DESTINADO A LA HABITACION Y SUS DEPENDENCIAS,VIVIENDA,ï¿½ANDU 8110,NO ESPECIFICADO,ï¿½ANDU 8110 HUALPEN CHILE,"EL ï¿½ANDU, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4300525, CHILE",-36.7918985,-73.0833807,ROBO EN LUGAR HABITADO ART. 440
35,RBNUP_2009_0006,5,2009-01-08 00:00:00,00:00:00,00,Thursday,VIERNES,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,DURANGO 814,NO ESPECIFICADO,DURANGO 814 HUALPEN CHILE,"PASAJE DURANGO, ALTO COSTANERA, HUALPEN, PROVINCIA DE CONCEPCION, REGION DEL BIOBIO, 4600000, CHILE",-36.7994518,-73.1049752,ROBO EN BIENES NAC
41,RBNUP_2009_0008,3,2009-01-09 00:00:00,00:00:00,00,Friday,SABADO,January,2009,BIENES NACIONALES USO PUBLICO,VIA PUBLICA URBANA,CALLE ALEMPARTE ,NO ESPECIFICADO,CALLE ALEMPARTE  HUALPEN CHILE,"AVENIDA ARTEAGA ALEMPARTE, CONCEPCION, BIO-BIO 460, CHILE",-36.79513,-73.08255,ROBO EN BIENES NAC
